,val_acc
660,0.1279
661,0.1276
662,0.1278
663,0.1275
664,0.128
665,0.1281
666,0.1282
667,0.1283
668,0.1284
669,0.1285
670,0.1287
671,0.1283
672,0.1291
673,0.1282
674,0.1281
675,0.1281
676,0.1287
677,0.1287
678,0.1284
679,0.1293
680,0.1294
681,0.1291
682,0.1286
683,0.1292
684,0.1292
685,0.1291
686,0.1288
687,0.1291
688,0.1285
689,0.1288
690,0.129
691,0.1298
692,0.1291
693,0.1291
694,0.1295
695,0.1297
696,0.1294
697,0.1296
698,0.1296
699,0.1286
700,0.1286
701,0.1284
702,0.1292
703,0.1295
704,0.1284
705,0.1285
706,0.1284
707,0.1291
708,0.1294
709,0.1295
710,0.1303
711,0.13
712,0.1301
713,0.1293
714,0.1293
715,0.1296
716,0.1293
717,0.1288
718,0.1275
719,0.1291
720,0.1287
721,0.1289
722,0.1298
723,0.1291
724,0.1301
725,0.1296
726,0.1295
727,0.1301
728,0.1298
729,0.1292
730,0.1296
731,0.1296
732,0.1291
733,0.1288
734,0.13
735,0.1296
736,0.1297
737,0.1292
738,0.1293
739,0.13
740,0.1301
741,0.1307
742,0.1297
743,0.1308
744,0.1295
745,0.1313
746,0.1302
747,0.1303
748,0.1303
749,0.1307
750,0.13
751,0.1312
752,0.1312
753,0.1308
754,0.1306
755,0.1304
756,0.1309
757,0.1301
758,0.1322
759,0.1318
760,0.1325
761,0.1314
762,0.1312
763,0.1314
764,0.1311
765,0.1315
766,0.1331
767,0.1322
768,0.1329
769,0.1333
770,0.1341
771,0.1341
772,0.1332
773,0.1331
774,0.1338
775,0.1343
776,0.1332
777,0.1334
778,0.1352
779,0.1358
780,0.1372
781,0.137
